run,plan_id,phase,module,model,prompt,prompt_version,parsed_ok,attempts,retries,error,latency_ms,tokens_in,tokens_out,created_at
111,11,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10855,1227,3222,2026-09-23T18:48:00.541488
112,11,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,15891,1286,2514,2026-09-23T18:48:04.116650
113,12,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",1003,0,0,2026-09-23T18:49:37.263269
114,12,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",778,0,0,2026-09-23T18:49:37.263278
115,12,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",770,0,0,2026-09-23T18:49:37.263281
116,12,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",723,0,0,2026-09-23T18:49:37.263283
117,13,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",2556,0,0,2026-09-24T03:50:57.000453
118,13,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",2536,0,0,2026-09-24T03:50:57.000463
119,13,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",2495,0,0,2026-09-24T03:50:57.000466
120,13,outline,,,plan_outline,2.0,False,1,0,"auth: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'Your project has been denied access. Please contact support.', 'status': 'PERMISSION_DENIED'}}",1756,0,0,2026-09-24T03:50:57.000467
121,14,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,3,2,,26502,3328,2499,2026-09-24T19:12:59.773431
122,14,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,9875,3932,3056,2026-09-24T19:12:59.773441
123,14,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,7906,3865,2312,2026-09-24T19:12:59.773444
124,14,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,8756,4601,2309,2026-09-24T19:12:59.773446
125,14,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8925,1955,3355,2026-09-24T19:13:20.957680
126,14,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8878,1596,3159,2026-09-24T19:13:21.854190
127,14,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,13951,1969,5059,2026-09-24T19:13:24.000145
128,14,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,11996,1727,4302,2026-09-24T19:13:26.096982
129,14,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10535,1398,3678,2026-09-24T19:13:28.234098
130,14,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,9602,1636,3016,2026-09-24T19:13:31.698090
131,14,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,9652,1573,3346,2026-09-24T19:13:33.963628
132,14,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,11407,1721,3958,2026-09-24T19:13:37.296711
